tag,name,star,people,author,money,country,year
小说,解忧杂货店,8.6,297210,东野圭吾,39.5,日,2014
文学,百年孤独,9.2,138353,加西亚·马尔克斯,39.5,哥伦比亚,2011
小说,巨人的陨落,8.9,39014,肯·福莱特,129.8,英,2016
小说,我的前半生,7.9,22722,亦舒,22.0,中,2007
小说,房思琪的初恋乐园,9.2,23870,林奕含,45.0,中,2018
小说,追风筝的人,8.9,325801,卡勒德·胡赛尼,29.0,美,2006
小说,百年孤独,9.2,138253,加西亚·马尔克斯,39.5,哥伦比亚,2011
小说,霍乱时期的爱情,9.0,76618,加西亚·马尔克斯,39.5,哥伦比亚,2012
小说,新名字的故事,9.0,8257,埃莱娜·费兰特,59.0,意,2017
小说,鱼王,9.0,1915,维克托·阿斯塔菲耶夫,78.0,俄,2017
小说,雪落香杉树,8.4,3397,戴维·伽特森,52.0,美,2017
小说,月亮和六便士,9.0,82482,毛姆,15.0,英,2006
小说,世界的凛冬,8.9,12271,肯·福莱特,132.0,英,2017
小说,活着,9.1,153115,余华,12.0,中,1998
小说,1984,9.3,49985,乔治·奥威尔,28.0,英,2010
小说,杀死一只知更鸟,9.2,21417,哈珀·李,32.0,美,2012
小说,围城,8.9,204184,钱锺书,19.0,中,1991
小说,斯通纳,8.8,17304,约翰·威廉斯,39.0,美,2016
小说,囚鸟,8.0,1982,库尔特·冯内古特,38.0,美,2017
小说,外婆的道歉信,8.0,8355,弗雷德里克·巴克曼,42.0,瑞典,2017
小说,平凡的世界（全三部）,9.0,111850,路遥,64.0,中,2005
散文,我们仨,8.7,92184,杨绛,18.8,中,2003
诗歌,一只狼在放哨,8.5,754,阿巴斯·基阿鲁斯达米,39.0,伊朗,2017
文学,巨人的陨落,8.9,39044,肯·福莱特,129.8,英,2016
文学,1984,9.3,50046,乔治·奥威尔,28.0,英,2010
文学,追风筝的人,8.9,326013,卡勒德·胡赛尼,29.0,美,2006
文学,房思琪的初恋乐园,9.2,24049,林奕含,45.0,中,2018
文学,二手时间,8.8,7663,S.A.阿列克谢耶维奇,55.0,白俄,2016
文学,霍乱时期的爱情,9.0,76673,加西亚·马尔克斯,39.5,哥伦比亚,2012
文学,雪落香杉树,8.4,3411,戴维·伽特森,52.0,美,2017
文学,鱼王,9.0,1918,维克托·阿斯塔菲耶夫,78.0,俄,2017
文学,月亮和六便士,9.0,82535,毛姆,15.0,英,2006
文学,世界的凛冬,8.9,12281,肯·福莱特,132.0,英,2017
文学,步履不停,8.7,9508,是枝裕和,36.8,日,2017
文学,外婆的道歉信,8.0,8372,弗雷德里克·巴克曼,42.0,瑞典,2017
文学,活着,9.1,153246,余华,12.0,中,1998
文学,杀死一只知更鸟,9.2,21444,哈珀·李,32.0,美,2012
文学,红楼梦,9.6,134837,曹雪芹著、高鹗续,59.7,中,1996
文学,我们仨,8.7,92184,杨绛,18.8,中,2003
文学,活着为了讲述,9.0,4165,加西亚·马尔克斯,55.0,哥伦比亚,2016
文学,围城,8.9,204259,钱锺书,19.0,中,1991
文学,斯通纳,8.8,17315,约翰·威廉斯,39.0,美,2016
小说,我的天才女友,8.4,11506,埃莱娜·费兰特,42.0,意,2017
文学,囚鸟,8.0,1983,库尔特·冯内古特,38.0,美,2017
散文,陶庵梦忆 西湖梦寻,9.2,2838,张岱,25.0,中,2001
诗歌,坐在你身边看云,9.0,148,费尔南多·佩索阿,68.0,葡,2017
散文,目送,8.7,89435,龙应台,39.0,中,2009
散文,这些人，那些事,8.8,45027,吴念真,28.0,中,2011
散文,撒哈拉的故事,9.0,67986,三毛,160.0,中,1976
散文,活着本来单纯,8.7,1811,丰子恺,45.0,中,2016
散文,时间的果,8.3,1370,黎戈,39.8,中,2017
散文,瓦尔登湖,8.4,23993,梭罗,11.0,美,2006
散文,人间草木,9.0,6298,汪曾祺,20.0,中,2005
散文,我为你洒下月光,8.3,502,简媜,48.0,中,2017
散文,皮囊,7.6,48286,蔡崇达,39.8,中,2014
散文,悲伤与理智,8.6,1704,约瑟夫·布罗茨基,58.0,美,2015
散文,我口袋里的星辰如沙砾,8.0,239,韩松落,39.0,中,2017
散文,孩子你慢慢来,8.8,31489,龙应台,28.0,中,2009
散文,一个人的村庄,8.9,7964,刘亮程,28.0,中,2006
散文,此生多珍重,8.6,534,丰子恺,49.8,中,2017
散文,生活，是很好玩的,8.8,1858,汪曾祺,52.0,中,2016
散文,冬牧场,9.0,9788,李娟,29.8,中,2012
散文,我的阿勒泰,8.8,13337,李娟,22.0,中,2010
散文,我与地坛,9.0,19225,史铁生,25.0,中,2002
诗歌,鲍勃·迪伦诗歌集 (1961-2012),9.0,330,鲍勃·迪伦,198.0,美,2017
诗歌,万物静默如谜,8.6,11035,维斯拉瓦•辛波斯卡,26.0,波,2012
诗歌,我的孤独是一座花园,8.7,8285,阿多尼斯,28.0,叙利亚,2009
诗歌,事物的味道，我尝得太早了,8.6,2108,石川啄木,45.0,日,2016
诗歌,奥克诺斯,9.1,1145,路易斯·塞尔努达,29.0,西班牙,2015
诗歌,唯有孤独恒常如新,8.1,1555,伊丽莎白·毕肖普,39.0,美,2015
诗歌,博尔赫斯诗选,8.9,2595,博尔赫斯,19.0,阿根廷,2003
诗歌,现实与欲望,9.1,539,路易斯·塞尔努达,58.0,西班牙,2016
诗歌,诗的八堂课,8.3,786,江弱水,34.0,中,2017
诗歌,智惠子抄,8.5,158,高村光太郎,45.0,日,2017
诗歌,飞鸟集,8.8,26813,罗宾德拉纳德·泰戈尔,16.8,印,2004
诗歌,月光落在左手上,8.3,5040,余秀华,29.0,中,2015
诗歌,二十亿光年的孤独,7.8,1639,谷川俊太郎,39.0,日,2016
诗歌,二十首情诗与绝望的歌,8.8,6410,聂鲁达,20.0,中,2003
诗歌,恶之花,8.6,3153,夏尔·波德莱尔,19.8,法,2002
诗歌,摇摇晃晃的人间,8.3,2700,余秀华,28.0,中,2015
小说,一个叫欧维的男人决定去死,9.1,13090,弗雷德里克·巴克曼,35.0,瑞典,2015
文学,看不见的城市,8.8,27613,伊塔洛·卡尔维诺,16.0,意大利,2006
散文,加缪手记,9.1,1044,阿尔贝·加缪,35.0,法,2016
诗歌,读诗的艺术,8.6,848,哈罗德·布鲁姆等,26.0,美,2010
小说,源泉,9.0,5437,安·兰德,49.8,美,2005
散文,尽头,8.8,766,唐诺,88.0,中,2013
诗歌,大天使昂热丽克及其他诗,7.9,220,乔治·巴塔耶,36.0,法,2017
小说,S.,7.9,3762,J.J.艾布拉姆斯、[美,168.0,美,2016
小说,卡拉马佐夫兄弟,9.4,8388,陀思妥耶夫斯基,25.0,俄,2006
小说,刀锋,9.0,30870,毛姆,18.0,英,2007
小说,醒来的女性,8.8,1633,玛丽莲·弗伦奇,90.0,美,2017
小说,局外人,9.0,40964,阿尔贝·加缪,22.0,法,2010
小说,步履不停,8.7,9487,是枝裕和,36.8,日,2017
小说,你一生的故事,8.6,12083,特德·姜,36.0,美,2015
小说,戴上手套擦泪,8.0,1777,乔纳斯·嘉德尔,38.0,瑞典,2017
小说,双峰: 神秘史,8.4,782,马克·弗罗斯特,188.0,美,2017
小说,恋情的终结,8.0,6022,格雷厄姆·格林,58.0,英,2017
小说,人生的枷锁,9.0,13269,毛姆,32.0,英,2007
小说,不能承受的生命之轻,8.5,142450,米兰·昆德拉,23.0,捷克,2003
小说,贝伦与露西恩,9.2,285,J.R.R.托尔金著、[英,69.8,英,2017
小说,白鹿原,8.6,48658,陈忠实,28.0,中,1997
小说,欢迎来到猴子馆,8.7,616,库尔特·冯内古特,48.0,美,2017
小说,繁花,8.8,11462,金宇澄,48.0,中,2013
小说,动物农场,9.2,36583,乔治·奥威尔,10.0,英,2007
小说,七根凶简,8.1,2841,尾鱼,39.8,中,2017
小说,北鸢,8.0,7190,葛亮,45.0,中,2016
小说,毒木圣经,8.7,1833,芭芭拉·金索沃,59.0,美,2017
文学,玫瑰的名字,8.6,6525,翁贝托·埃科,33.0,意,2010
文学,沉默的大多数,9.1,46514,王小波,27.0,中,1997
文学,飘,9.3,84892,玛格丽特·米切尔,40.0,美国,2000
文学,平凡的世界（全三部）,9.0,111924,路遥,64.0,中,2005
文学,解忧杂货店,8.6,297476,东野圭吾,39.5,日,2014
文学,局外人,9.0,41022,阿尔贝·加缪,22.0,法,2010
文学,卡拉马佐夫兄弟,9.4,8393,陀思妥耶夫斯基,25.0,俄,2006
文学,醒来的女性,8.8,1634,玛丽莲·弗伦奇,90.0,美,2017
文学,不能承受的生命之轻,8.5,142486,米兰·昆德拉,23.0,捷克,2003
文学,刀锋,9.0,30887,毛姆,18.0,英,2007
文学,你一生的故事,8.6,12088,特德·姜,36.0,美,2015
文学,小王子,9.0,251246,圣埃克苏佩里,22.0,法,2003
文学,戴上手套擦泪,8.0,1779,乔纳斯·嘉德尔,38.0,瑞典,2017
文学,双峰: 神秘史,8.4,783,马克·弗罗斯特,188.0,美,2017
文学,当呼吸化为空气,8.8,7449,保罗·卡拉尼什,48.0,美,2016
文学,散步去,8.6,2765,谷口治郎,88.0,日,2017
文学,恋情的终结,8.0,6027,格雷厄姆·格林,58.0,英,2017
文学,人生的枷锁,9.0,13271,毛姆,32.0,英,2007
散文,小于一,8.8,1902,约瑟夫·布罗茨基,45.0,美,2014
散文,素履之往,8.7,6946,木心,18.0,中,2007
散文,穿过圩场,8.9,36,罗南,28.0,中,2017
散文,梦里花落知多少,8.9,30171,三毛,28.0,中,2007
散文,雅舍谈吃,8.8,5158,梁实秋,17.0,中,2005
散文,阿勒泰的角落,9.0,7132,李娟,25.0,中,2010
散文,寻找家园,9.3,4057,高尔泰,20.0,中,2004
散文,阿城精选集,9.1,4481,阿城,25.0,中,2011
散文,泛若不系之舟,8.6,5323,傅真,39.8,中,2014
散文,山之四季,7.9,2138,高村光太郎,32.0,日,2017
散文,岁朝清供,9.2,3150,汪曾祺,25.0,中,2010
散文,所谓好玩的事，我再也不做了,7.6,354,大卫·福斯特·华莱士,52.0,美,2017
散文,哭泣的骆驼,8.9,31339,三毛,15.8,中,2003
散文,汪曾祺散文,9.2,2240,汪曾祺,21.0,中,2005
散文,自在独行,7.3,4682,贾平凹,39.0,中,2016
诗歌,荒原,8.9,1487,托·斯·艾略特,45.0,英,2012
诗歌,海子的诗,8.9,18364,海子,15.4,中,1999
诗歌,致未来的诗人,9.0,794,路易斯·塞尔努达,34.0,西班牙,2015
诗歌,既见君子,8.4,1935,张定浩,29.8,中,2014
诗歌,北岛诗歌集,8.6,5804,北岛,20.0,中,2003
诗歌,给青年诗人的信,9.1,3317,莱内·马利亚·里尔克,15.0,奥,2005
诗歌,我是你流浪过的一个地方,8.7,2097,海桑,28.0,中,2012
诗歌,顾城的诗,8.8,14370,顾城,20.0,中,1998
诗歌,里尔克诗选,8.9,3377,里尔克,7.2,奥,2002
诗歌,顾城的诗 顾城的画,9.1,4429,顾城,22.0,中,2009
诗歌,午夜起来听寂静,7.6,554,周云蓬,38.0,中,2017
诗歌,在水中热爱火焰,8.7,133,埃乌热尼奥·德·安德拉德,42.0,葡萄牙,2017
诗歌,春秋来信,9.2,573,张枣,10.8,中,1998
诗歌,春天责备,8.3,8798,周云蓬,32.0,中,2010
诗歌,我坐在火山的最边缘,8.5,306,包慧怡,36.0,中,2016
诗歌,我曾这样寂寞生活：辛波斯卡诗选2,8.2,1928,维斯拉瓦·辛波斯卡,30.0,波,2014
散文,流言,8.7,8003,张爱玲,25.0,中,2006
小说,世界尽头与冷酷仙境,8.6,26984,村上春树,23.0,日,2002
文学,百鬼夜行——阳,7.7,1112,京极夏彦,49.0,日,2017
小说,吃鲷鱼让我打嗝,8.0,2421,杰西·艾森伯格,49.0,美,2017
小说,我脑袋里的怪东西,8.6,2882,奥尔罕·帕慕克,49.0,土耳其,2016
小说,无声告白,8.2,55701,伍绮诗,35.0,美,2015
小说,悉达多,9.0,14469,赫尔曼·黑塞,20.0,德,2009
小说,黄金时代,8.8,64288,王小波,19.0,中,1999
小说,肖申克的救赎,9.1,42135,斯蒂芬·金,29.9,美,2006
小说,台北人,8.9,16127,白先勇,38.0,中,2010
小说,岛上书店,7.6,86059,加布瑞埃拉·泽文,35.0,美,2015
小说,飘,9.3,84861,玛格丽特·米切尔,40.0,美国,2000
小说,树上的男爵,9.1,12396,卡尔维诺,30.0,意,2012
小说,牧羊少年奇幻之旅,8.6,61735,保罗·柯艾略,25.0,巴西,2009
小说,美丽新世界,8.6,12437,阿道司·赫胥黎,20.0,英,2005
小说,悟空传,8.4,64875,今何在,14.8,中,2001
小说,灿烂千阳,8.8,58171,卡勒德·胡赛尼,28.0,美,2007
小说,倾城之恋,8.5,93582,张爱玲,11.0,中,1997
小说,不属于我们的世纪,8.3,1736,马修·托马斯,46.0,美,2016
小说,博尔赫斯小说集,9.2,7971,博尔赫斯,26.0,阿根廷,2005
小说,玫瑰的名字,8.6,6521,翁贝托·埃科,33.0,意,2010
小说,情人,8.1,91471,玛格丽特·杜拉斯,20.0,法,2005
文学,白鹿原,8.6,48687,陈忠实,28.0,中,1997
文学,欢迎来到猴子馆,8.7,616,库尔特·冯内古特,48.0,美,2017
文学,繁花,8.8,11466,金宇澄,48.0,中,2013
文学,毒木圣经,8.7,1838,芭芭拉·金索沃,59.0,美,2017
文学,北鸢,8.0,7190,葛亮,45.0,中,2016
文学,这些人，那些事,8.8,45027,吴念真,28.0,中,2011
文学,我脑袋里的怪东西,8.6,2883,奥尔罕·帕慕克,49.0,土耳其,2016
文学,动物农场,9.2,36605,乔治·奥威尔,10.0,英,2007
文学,悉达多,9.0,14473,赫尔曼·黑塞,20.0,德,2009
文学,黄金时代,8.8,64311,王小波,19.0,中,1999
文学,万物有灵且美,8.8,15829,吉米·哈利,28.8,英,2010
文学,撒哈拉的故事,9.0,67986,三毛,160.0,中,1976
文学,台北人,8.9,16137,白先勇,38.0,中,2010
文学,树上的男爵,9.1,12403,卡尔维诺,30.0,意,2012
文学,不负责任的自我,9.1,152,詹姆斯·伍德,45.0,英,2017
文学,牧羊少年奇幻之旅,8.6,61767,保罗·柯艾略,25.0,巴西,2009
散文,我这一辈子,8.5,812,老舍,32.0,中,2017
散文,写在人生边上 人生边上的边上 石语,8.9,7347,钱锺书,27.0,中,2002
散文,阴翳礼赞,8.4,4272,谷崎润一郎,18.0,日,2010
散文,城门开,8.4,14636,北岛,35.0,中,2010
散文,我执,8.0,24966,梁文道,35.0,中,2010
散文,山中的糖果,8.0,1386,邓安庆,39.0,中,2016
散文,燕子最后飞去了哪里,8.4,605,沈书枝,43.0,中,2017
散文,走到人生边上,8.0,11397,杨绛,16.0,中,2007
散文,下雨天一个人在家,7.6,486,江国香织,45.0,日,2017
散文,写在人生边上,8.8,5692,钱锺书,6.9,中,2000
散文,我已与一万亿株白桦相逢,8.2,1690,胡成,68.0,中,2015
散文,文化苦旅,7.7,68313,余秋雨,22.0,中,2001
散文,想牵着你的手，在青山绿水间,9.6,69,沈从文,39.8,中,2017
散文,如何让女人免于心碎,7.3,203,半岛璞,38.0,中,2017
散文,闲情偶寄,8.5,2930,李渔,29.0,中,2000
散文,旅行的艺术,8.3,15965,阿兰·德波顿,16.8,英,2004
散文,树犹如此,8.6,2947,白先勇,39.0,中,2011
散文,平常心，观自在,9.4,38,林清玄,42.0,中,2017
诗歌,费尔南多·佩索阿诗选,8.8,988,费尔南多·佩索阿,11.2,葡萄牙,2004
诗歌,里尔克诗全集 珍藏版（全四卷）,9.2,94,里尔克,660.0,奥,2016
诗歌,特朗斯特罗姆诗歌全集,9.1,808,托马斯·特朗斯特罗姆,45.0,瑞典,2012
诗歌,时间的玫瑰,8.6,3258,北岛,33.0,中,2005
诗歌,阿尔伯特·卡埃罗,8.9,575,费尔南多·佩索阿,56.0,葡萄牙,2013
诗歌,纪伯伦诗集,9.1,1656,"纪·哈·纪伯伦（Gibran,K.",25.0,黎巴嫩,2006
诗歌,如何读诗,8.8,143,特里·伊格尔顿,40.0,英,2016
诗歌,寂然的狂喜,7.5,387,威廉·巴特勒·叶芝、科尔姆·托宾理查德·戈尔曼依婉·伯兰李昶等,98.0,爱尔兰,2016
诗歌,我们时代的诗人,8.4,116,陈东东,36.0,中,2017
诗歌,爱是地狱冥犬,7.8,432,布考斯基,60.0,美,2017
诗歌,泰戈尔诗集,8.9,8274,罗宾德拉纳特·泰戈尔,25.0,印,2004
诗歌,张枣的诗,8.7,1739,张枣,20.0,中,2010
诗歌,疑问集,8.3,1349,巴勃罗•聂鲁达,25.0,智利,2015
诗歌,牧歌,8.7,367,维吉尔,24.0,古罗马,2009
诗歌,另一个，同一个,9.0,226,博尔赫斯,35.0,阿根廷,2016
散文,一片叶子下生活,9.1,69,刘亮程,38.0,中,2017
小说,幽灵,8.6,2209,尤·奈斯博,42.0,挪,2017
小说,金色梦乡,9.0,13537,伊坂幸太郎,35.0,日,2010
小说,2666,8.7,2504,罗贝托·波拉尼奥,98.0,智利,2012
小说,一句顶一万句,8.7,21065,刘震云,29.8,中,2009
小说,一个人的朝圣,8.1,35512,蕾秋·乔伊斯,32.8,英,2013
小说,挪威的森林,8.0,198812,村上春树,18.8,日,2001
小说,被占的宅子,8.4,961,胡利奥·科塔萨尔,49.5,阿根廷,2017
小说,心是孤独的猎手,8.5,23786,卡森·麦卡勒斯,25.0,美,2005
小说,永恒的边缘,7.8,5110,肯·福莱特,168.0,英,2017
小说,1Q84 BOOK 1,8.3,82340,村上春树,36.0,日,2010
小说,海风中失落的血色馈赠,9.0,3515,阿利斯泰尔·麦克劳德,20.0,加拿大,2015
小说,佛罗伦萨的神女,8.4,981,萨曼·鲁西迪,45.0,英,2017
小说,没有你，什么都不甜蜜,7.8,401,约恩·卡尔曼·斯特凡松,45.0,冰岛,2017
小说,时光倒流的女孩,7.9,2153,加·泽文,38.0,美,2017
小说,清明上河图密码,8.2,9370,冶文彪,49.9,中,2015
小说,查特莱夫人的情人,7.6,5991,劳伦斯,24.0,英,2004
小说,过于喧嚣的孤独,8.8,7538,赫拉巴尔,22.0,捷克,2011
文学,岛上书店,7.6,86106,加布瑞埃拉·泽文,35.0,美,2015
文学,追忆似水年华（上下册）,9.1,2448,马塞尔·普鲁斯特,68.0,法国,2001
